NPI,LOT_TYPE,LOT,COMMIT,OPERATION,OPER_SHORT,OPER_LONG,OUT_DATE,ORDER,LAYER,PLAN,SCALED_OUT_DATE,SCALED_PLAN
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,258787,L #8cM11dS,L #P1278c d M11 SED (M10),,59,M11,2025-10-16 11:58:43.571428574,,119.3338260582011
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,243958,L #8V10fS,"L #P1278 f V10 SED (M11,M10)",,60,V10,2025-10-18 01:24:26.428571431,,120.89334986772492
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,258791,L #8cM12dS,L #P1278c d M12 SED (M11),,61,M12,2025-10-19 14:50:09.285714287,,122.45287367724869
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,243959,L #8V11fS,"L #P1278 f V11 SED (M12,M11)",,62,V11,2025-10-21 04:15:52.142857143,,124.0123974867725
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,221050,L #8cM13nS,L #P1278c n M13 SED (M12),,63,M13,2025-10-22 17:41:35.000000000,,125.5719212962963
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,248909,L #8V12fS,"L #P1278 f V12 SED (M13,M12)",,64,V12,2025-10-24 07:07:17.857142856,,127.13144510582009
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,221052,L #8cM14nS,L #P1278c n M14 SED (M13),,65,M14,2025-10-25 20:33:00.714285712,,128.6909689153439
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,221053,L #8cV13nS,"L #P1278c n V13 SED (M14,M13)",,66,V13,2025-10-27 09:58:43.571428568,,130.25049272486768
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,232502,L #8BKRnkS,"L #P1278 BKR NTKey SED (DNU,DPR)",,67,BKR,2025-10-28 23:24:26.428571425,,131.81001653439148
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,257413,L #8BM0bmS,L #P1278 BM0 FSM SED (DVG) BCN LOOP,,68,BM0,2025-10-30 12:50:09.285714290,,133.3695403439154
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,255739,L #8BCNnkS,L #P1278 BCN NTKey SED (BM0),,69,BCN,2025-11-01 02:15:52.142857146,,134.92906415343919
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,255584,L #8BV0fS,L #P1278 FSM BV0 SED (BM0),,70,BV0,2025-11-02 15:41:35.000000002,,136.48858796296298
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,241839,L #8BM1t S,L #P1278 t BM1 SED (BM0),,71,BM1,2025-11-04 05:07:17.857142859,,138.0481117724868
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,268210,L #8bBV1dS,L #P1278 d BV1 SED (BM1),,72,BV1,2025-11-05 18:33:00.714285715,,139.6076355820106
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,255488,L #8BM2bF,L #P1278b NRW BM2 SED FSM (BM1),,73,BM2,2025-11-07 07:58:43.571428571,,141.1671593915344
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,255437,L #8BV2bF,L #P1278b NRW BV2 SED FSM (BM2),,74,BV2,2025-11-08 21:24:26.428571428,,142.7266832010582
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,255309,L #8bBM3GS,L #P1278B BM3 MGP SED (BM2),,75,BM3,2025-11-10 10:50:09.285714284,,144.286207010582
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,255438,L #8BV3bF,L #P1278b NRW BV3 SED FSM (BM3),,76,BV3,2025-11-12 00:15:52.142857140,,145.84573082010579
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,255308,L #8BM4bGS,L #P1278.1 BM4 MGP Narrow SED (BM3),,77,BM4,2025-11-13 13:41:34.999999997,,147.40525462962958
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,264467,L #8BAVf10,L #P1278.1 BAV f SED10 (BM4),,78,BAV,2025-11-15 03:07:17.857142853,,148.96477843915338
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,267014,L #8 BC1dS,L #P1278 d BC1 Narrow SED (BAV),,79,BC1,2025-11-16 16:33:00.714285709,,150.52430224867717
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,267015,L #8 BC2dS,L #P1278 d BC2 Narrow SED (BAV),,80,BC2,2025-11-18 05:58:43.571428574,,152.08382605820108
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,267016,L #8 BC3dS,L #P1278 d BC3 Narrow SED (BAV),,81,BC3,2025-11-19 19:24:26.428571431,,153.6433498677249
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,255439,L #8BV4bF,L #P1278b NRW BV4  SED FSM (BM4),,82,BV4,2025-11-21 08:50:09.285714287,,155.2028736772487
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,217326,L #81BM5bt,L #P1278.1 BM5 b SED thk res (BM4),,83,BM5,2025-11-22 22:15:52.142857143,,156.7623974867725
NPI 18A Panther Lake G-1 (8PXMCV A G),SC Scout 2,A528920A,2025-11-24 18:00:00,231725,L #81BLVbS,L #P1278.1 BLV b SED (BM5),,84,BLV,2025-11-24 11:41:35.000000000,,158.3219212962963
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,0204,Z EBMSTRT,Z EBM WAFER START QUEUE,2025-07-10 03:58:14,0,START,2025-07-10 03:58:14.000000000,21.000150462962964,21.000150462962964
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,204056,L 8ZRObaSE,L P1278 ZRO ba 1ST LYR SED (ZRO),2025-07-21 15:07:26,1,ZRO,2025-07-11 21:41:05.428571425,32.464872685185185,22.73824570105816
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),2025-07-24 02:38:37,2,NDR,2025-07-13 15:23:56.857142859,34.94486111111111,24.476340939153463
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025-07-24 09:46:36,3,PDR,2025-07-15 09:06:48.285714284,35.24207175925926,26.214436177248658
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,213666,L 8bDPRdSE,L P1278 DPRb d SED (ZRO),2025-07-26 02:47:44,4,DPR,2025-07-17 02:49:39.714285718,36.95119212962963,27.952531415343955
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,211888,L 8bDNUcSE,L P1278b c DNU SED (DPR),2025-07-27 19:13:05,5,DNU,2025-07-18 20:32:31.142857143,38.63546296296296,29.690626653439157
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,204091,L 8b PDI S,"L P1278b PDI SED (DNU,DPR)",2025-08-02 21:01:49,6,PDI,2025-07-20 14:15:22.571428568,44.710972222222225,31.42872189153435
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,204095,L 8b NDI S,"L P1278b NDI SED (DNU,DPR)",2025-08-03 09:14:53,7,NDI,2025-07-22 07:58:14.000000002,45.220046296296296,33.16681712962965
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,257029,L 8PLYrSE,"L P1278 PLY r SED (DNU,DPR)",2025-08-14 07:13:56,8,PLY,2025-07-24 01:41:05.428571428,56.13605324074074,34.90491236772486
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,210621,L 8b PS1 S,"L P1278b PS1 SED (PLY,DPR)",,9,PS1,2025-07-25 19:23:56.857142853,,36.64300760582006
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,210622,L 8b PS2 S,"L P1278b PS2 SED (PLY,DPR)",,10,PS2,2025-07-27 13:06:48.285714287,,38.38110284391536
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,234119,L 8d NESdS,"L P1278d NES d SED (PLY,DPR)",,11,NES,2025-07-29 06:49:39.714285712,,40.119198082010556
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,228847,L 8c FT1cS,"L P1278C FT1 SED (PLY,DPR)",,12,FT1,2025-07-31 00:32:31.142857146,,41.85729332010585
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,228848,L 8c FT2cS,"L P1278C FT2 SED (PLY,DPR)",,13,FT2,2025-08-01 18:15:22.571428571,,43.59538855820105
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,240707,L 8c FTPmS,"L P1278C FTP m SED (PLY,DPR)",,14,FTP,2025-08-03 11:58:13.999999997,,45.333483796296264
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,228394,L 8c DR5S,"L P1278c DR5 box SED (DPR,PLY)",,15,DR5,2025-08-05 05:41:05.428571431,,47.07157903439156
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,258363,L 8xrHNUS,"L P1278  5n4p r3 HNU SED (DPR,PLY)",,16,HNU,2025-08-06 23:23:56.857142856,,48.80967427248677
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,258365,L 8xrDR6S,"L P1278  5n4p r3 DR6 SED (DPR,PLY)",,17,DR6,2025-08-08 17:06:48.285714281,,50.54776951058195
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,242985,L 8 DR4xS,"L P1278 x DR4 SED (DPR,PLY)",,18,DR4,2025-08-10 10:49:39.714285715,,52.28586474867725
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,242990,L 8 HNSxS,"L P1278 HNS x SED (PLY,DCB)",,19,HNS,2025-08-12 04:32:31.142857140,,54.023959986772454
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,242983,L 8 QDMxS,"L P1278 x QDM SED (DPR,PLY)",,20,QDM,2025-08-13 22:15:22.571428574,,55.76205522486775
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,212437,L 8b PB2 S,"L P1278 b PB2 box SED (DPR,PLY)",,21,PB2,2025-08-15 15:58:14.000000000,,57.500150462962964
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,234550,L 8s PBMbS,"L P1278 s PBM b SED (DPR,PLY)",,22,PBM,2025-08-17 09:41:05.428571425,,59.23824570105816
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,235101,L 8s NBMnS,"L P1278 s NBM box SED (DPR,PLY)",,23,NBM,2025-08-19 03:23:56.857142859,,60.97634093915346
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,261262,L 8TPAdyS,"L P1278 dyDGN TPA SED (PLY,DPR)",,24,TPA,2025-08-20 21:06:48.285714284,,62.71443617724865
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,261263,L 8TPBdyS,"L P1278 dyDGN TPB SED (TPA,PLY,DPR)",,25,TPB,2025-08-22 14:49:39.714285718,,64.45253141534396
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,218701,L 8b NSDbS,"L P1278b NSD Bx SED (PLY,DPR)",,26,NSD,2025-08-24 08:32:31.142857143,,66.19062665343915
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,218702,L 8b PSDbS,"L P1278b PSD Bx SED (PLY,DPR)",,27,PSD,2025-08-26 02:15:22.571428568,,67.92872189153435
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,261264,L 8GC1dyS,"L P1278 dy GC1 SED (TPAB,PLY)",,28,GC1,2025-08-27 19:58:14.000000002,,69.66681712962965
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,261265,L 8GC2dyS,"L P1278 dy GC2 SED (TPAB,PLY)",,29,GC2,2025-08-29 13:41:05.428571428,,71.40491236772486
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,261266,L 8PCTdyS,"L P1278 dy PCT SED (TPAB,PLY,DPR)",,30,PCT,2025-08-31 07:23:56.857142853,,73.14300760582006
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,261267,L 8PCLdyS,"L P1278 dy PCL SED (PLY,DPR)",,31,PCL,2025-09-02 01:06:48.285714287,,74.88110284391536
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,261268,L 8DVGdyS,"L P1278 dyDGN DVG SED (PCL,PLY)",,32,DVG,2025-09-03 18:49:39.714285712,,76.61919808201056
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,261269,L 8DVPdyS,"L P1278 dyDGN DVP SED (DVG,PLY)",,33,DVP,2025-09-05 12:32:31.142857146,,78.35729332010587
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,261270,L 8TLKdyS,"L P1278 dyDGN TLK SED (PLY,DVG)",,34,TLK,2025-09-07 06:15:22.571428571,,80.09538855820105
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,261392,L 8VCGdyS,"L P1278 VCG dy SED (TLK,PCTL,PLY)",,35,VCG,2025-09-08 23:58:13.999999997,,81.83348379629626
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,261393,L 8VCTdyS,"L P1278 VCT dy SED(VCG,TLK,TPAB,PLY",,36,VCT,2025-09-10 17:41:05.428571431,,83.57157903439156
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,249446,L #8MT0dlS,"L #P1278 dlDGN MT0 SED (VCT,VCG)",,37,MT0,2025-09-12 11:23:56.857142856,,85.30967427248676
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,249070,L #8VA0daS,L #P1278 daDGN VA0 SED (MT0),,38,VA0,2025-09-14 05:06:48.285714290,,87.04776951058206
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,251775,L #8MT1deS,L #P1278 deDGN MT1 SED (VA0) Clippe,,39,MT1,2025-09-15 22:49:39.714285715,,88.78586474867726
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,260126,L #8cTFRgS,L #P1278c FL G-CHM TFR SED (MT1),,40,TFR,2025-09-17 16:32:31.142857140,,90.52395998677245
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,260270,L #8MT2wS,L #P1278 w DD WB DGN MT2 SED (MT1),,41,MT2,2025-09-19 10:15:22.571428574,,92.26205522486775
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,260803,L #8VA1wS,"L #P1278 w VA1 SED (MT2,MT1)",,42,VA1,2025-09-21 03:58:14.000000000,,94.00015046296296
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,265238,L #8MT3gS,L #P1278 g Drgn Apollo MT3 SED (MT2,,43,MT3,2025-09-22 21:41:05.428571425,,95.73824570105816
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,260806,L #8VA2wS,"L #P1278 w VA2 SED (MT3,MT2)",,44,VA2,2025-09-24 15:23:56.857142859,,97.47634093915345
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,265240,L #8MT4gS,L #P1278 g Drgn Apollo MT4 SED (MT3,,45,MT4,2025-09-26 09:06:48.285714284,,99.21443617724866
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,260810,L #8VA3wS,"L #P1278 w VA3 SED (MT4,MT3)",,46,VA3,2025-09-28 02:49:39.714285709,,100.95253141534386
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,249526,L #86MT5 d,L #P1278.6 d MT5 SED (MT4),,47,MT5,2025-09-29 20:32:31.142857143,,102.69062665343917
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,249553,L #86VA4,"L #P1278.6 d VA4 SED (MT5,MT4)",,48,VA4,2025-10-01 14:15:22.571428568,,104.42872189153434
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,243912,L #86MT6 S,L #P1278.6 MT6 SED (MT5),,49,MT6,2025-10-03 07:58:14.000000002,,106.16681712962965
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,243953,L #8VA5fS,"L #P1278 f VA5 SED (MT6,MT5)",,50,VA5,2025-10-05 01:41:05.428571428,,107.90491236772485
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,243913,L #86MT7 S,L #P1278.6 MT7 SED (MT6),,51,MT7,2025-10-06 19:23:56.857142853,,109.64300760582006
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,243954,L #8VA6fS,"L #P1278 f VA6 SED (MT7,MT6)",,52,VA6,2025-10-08 13:06:48.285714287,,111.38110284391536
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,243914,L #86MT8 S,L #P1278.6  MT8 SED (MT7),,53,MT8,2025-10-10 06:49:39.714285712,,113.11919808201057
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,243955,L #8VA7fS,"L #P1278 f VA7 SED (MT8,MT7)",,54,VA7,2025-10-12 00:32:31.142857146,,114.85729332010585
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,243915,L #86MT9 S,L #P1278.6 MT9 SED (MT8),,55,MT9,2025-10-13 18:15:22.571428571,,116.59538855820108
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,243956,L #8VA8fS,"L #P1278 f VA8 SED (MT9,MT8)",,56,VA8,2025-10-15 11:58:13.999999997,,118.33348379629625
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,243916,L #86M10 S,L #P1278.6 M10 SED (MT9),,57,M10,2025-10-17 05:41:05.428571431,,120.07157903439159
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,243957,L #8VA9fS,"L #P1278 f VA9 SED (M10,MT9)",,58,VA9,2025-10-18 23:23:56.857142856,,121.80967427248676
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,258787,L #8cM11dS,L #P1278c d M11 SED (M10),,59,M11,2025-10-20 17:06:48.285714290,,123.54776951058206
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,243958,L #8V10fS,"L #P1278 f V10 SED (M11,M10)",,60,V10,2025-10-22 10:49:39.714285715,,125.28586474867727
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,258791,L #8cM12dS,L #P1278c d M12 SED (M11),,61,M12,2025-10-24 04:32:31.142857140,,127.02395998677245
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,243959,L #8V11fS,"L #P1278 f V11 SED (M12,M11)",,62,V11,2025-10-25 22:15:22.571428574,,128.76205522486777
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,221050,L #8cM13nS,L #P1278c n M13 SED (M12),,63,M13,2025-10-27 15:58:14.000000000,,130.50015046296295
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,248909,L #8V12fS,"L #P1278 f V12 SED (M13,M12)",,64,V12,2025-10-29 09:41:05.428571425,,132.23824570105813
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,221052,L #8cM14nS,L #P1278c n M14 SED (M13),,65,M14,2025-10-31 03:23:56.857142859,,133.97634093915346
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,221053,L #8cV13nS,"L #P1278c n V13 SED (M14,M13)",,66,V13,2025-11-01 21:06:48.285714284,,135.71443617724864
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,232502,L #8BKRnkS,"L #P1278 BKR NTKey SED (DNU,DPR)",,67,BKR,2025-11-03 14:49:39.714285709,,137.45253141534383
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,257413,L #8BM0bmS,L #P1278 BM0 FSM SED (DVG) BCN LOOP,,68,BM0,2025-11-05 08:32:31.142857143,,139.19062665343915
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,255739,L #8BCNnkS,L #P1278 BCN NTKey SED (BM0),,69,BCN,2025-11-07 02:15:22.571428568,,140.92872189153434
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,255584,L #8BV0fS,L #P1278 FSM BV0 SED (BM0),,70,BV0,2025-11-08 19:58:14.000000002,,142.66681712962966
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,241839,L #8BM1t S,L #P1278 t BM1 SED (BM0),,71,BM1,2025-11-10 13:41:05.428571428,,144.40491236772485
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,268210,L #8bBV1dS,L #P1278 d BV1 SED (BM1),,72,BV1,2025-11-12 07:23:56.857142853,,146.14300760582006
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,255488,L #8BM2bF,L #P1278b NRW BM2 SED FSM (BM1),,73,BM2,2025-11-14 01:06:48.285714287,,147.88110284391536
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,255437,L #8BV2bF,L #P1278b NRW BV2 SED FSM (BM2),,74,BV2,2025-11-15 18:49:39.714285712,,149.61919808201057
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,255309,L #8bBM3GS,L #P1278B BM3 MGP SED (BM2),,75,BM3,2025-11-17 12:32:31.142857146,,151.35729332010584
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,255438,L #8BV3bF,L #P1278b NRW BV3 SED FSM (BM3),,76,BV3,2025-11-19 06:15:22.571428571,,153.09538855820108
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,255308,L #8BM4bGS,L #P1278.1 BM4 MGP Narrow SED (BM3),,77,BM4,2025-11-20 23:58:13.999999997,,154.83348379629626
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,264467,L #8BAVf10,L #P1278.1 BAV f SED10 (BM4),,78,BAV,2025-11-22 17:41:05.428571431,,156.5715790343916
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,267014,L #8 BC1dS,L #P1278 d BC1 Narrow SED (BAV),,79,BC1,2025-11-24 11:23:56.857142856,,158.30967427248677
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,267015,L #8 BC2dS,L #P1278 d BC2 Narrow SED (BAV),,80,BC2,2025-11-26 05:06:48.285714281,,160.04776951058193
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,267016,L #8 BC3dS,L #P1278 d BC3 Narrow SED (BAV),,81,BC3,2025-11-27 22:49:39.714285715,,161.78586474867728
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,255439,L #8BV4bF,L #P1278b NRW BV4  SED FSM (BM4),,82,BV4,2025-11-29 16:32:31.142857140,,163.52395998677244
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,217326,L #81BM5bt,L #P1278.1 BM5 b SED thk res (BM4),,83,BM5,2025-12-01 10:15:22.571428574,,165.26205522486777
NPI 18A Panther Lake G-1 (8PXMCV A G),Bull,A5280140,2025-12-03 18:00:00,231725,L #81BLVbS,L #P1278.1 BLV b SED (BM5),,84,BLV,2025-12-03 03:58:14.000000000,,167.00015046296295
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,0204,Z EBMSTRT,Z EBM WAFER START QUEUE,2025-07-10 03:58:32,0,START,2025-07-10 03:58:32.000000000,21.000358796296297,21.000358796296297
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,204056,L 8ZRObaSE,L P1278 ZRO ba 1ST LYR SED (ZRO),2025-07-16 19:58:47,1,ZRO,2025-07-11 19:41:23.428571428,27.667199074074073,22.655120701058195
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),2025-07-20 09:24:20,2,NDR,2025-07-13 11:24:14.857142856,31.226608796296297,24.309882605820093
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),2025-07-20 18:25:39,3,PDR,2025-07-15 03:07:06.285714284,31.602523148148148,25.96464451058199
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,213666,L 8bDPRdSE,L P1278 DPRb d SED (ZRO),2025-07-23 06:40:07,4,DPR,2025-07-16 18:49:57.714285712,34.112569444444446,27.619406415343892
NPI 18A Panther Lake G-1 (8PXMCV A G),Scout 1,A5289210,2025-11-26 18:00:00,211888,L 8bDNUcSE,L P1278b c DNU SED (DPR),2025-07-25 17:53:05,5,DNU,2025-07-18 10:32:49.142857140,36.579907407407404,29.274168320105787
